UNIQID,NAME,0C12_S,0C179_S,0C167_S,0C0936_S,AP5204_S,AP10222_S,AP12366_S,AP13058_S,AP13223_S,AP14217_S,AP14398_S,BP185_S,BP355_S,BP7644_S,CP6667_S,CP9949_S,CP12361_S,CP13701_S,CP13774_S,XP139_S,XP10557_S,XP13296_S,XP13451_S,XP14399_S,XP14698_S,XP15443_S,XP170_S,XP6209_S,XP7297_S,XP9376_S,XP9875_S,XP10232_S,XP11567_S,XP14735_S,XP16942_S
14,AFFX-LysX-M_at,4.091345,4.272654,4.383585,4.318252,4.28123,4.085584,4.14807,4.079404,4.132686,3.901133,4.196332,4.092132,4.202077,4.260011,4.180954,4.202654,4.297902,4.208465,4.098474,4.046765,4.261601,4.214763,4.25282,4.00824,4.142908,4.336825,4.319875,4.199977,4.608508,4.173472,4.247509,4.297922,4.27952,4.204764,4.28468
15,AFFX-LysX-3_at,3.675619,3.862331,3.819354,3.64437,3.972286,3.590803,3.631591,3.697107,3.683474,4.332884,3.807285,3.589855,3.799437,3.700862,3.678096,3.747801,3.655845,3.576238,3.487878,3.499621,3.748446,3.641901,3.664113,3.54701,3.574587,3.781884,3.629713,3.685557,3.947209,3.540965,3.751551,3.839216,3.63582,3.569962,3.485966
16,AFFX-PheX-5_at,3.65219,3.780249,3.769533,3.745348,3.89592,3.795384,3.68903,3.739348,3.598739,3.943108,3.792911,3.720744,3.81924,3.82239,3.846828,3.865807,3.674312,3.759025,3.650638,3.617333,3.77563,3.641572,3.767314,3.638658,3.676026,3.689986,3.684575,3.744158,4.058163,3.865428,3.810914,3.797632,3.714739,3.698278,3.758682
17,AFFX-PheX-M_at,3.551127,3.563667,3.611324,3.693414,3.633266,3.696306,3.544991,3.55262,3.563937,3.715006,3.63086,3.512212,3.845302,3.55263,3.57433,3.631261,3.532104,3.570938,3.51999,3.520281,3.874867,3.541609,3.680947,3.504207,3.745451,3.63707,3.608467,3.717364,3.779808,3.59421,3.748067,3.548855,3.887431,3.581126,3.624832
18,AFFX-PheX-3_at,5.473017,5.807715,5.504794,5.392471,5.433741,5.638178,5.48935,5.688004,5.41209,5.501225,5.198736,5.543109,5.512575,5.806948,5.861599,5.736602,5.612904,5.506191,5.468839,5.385829,5.894345,5.524723,5.429469,5.367086,5.426673,5.548542,5.604535,5.521615,5.897357,5.404377,5.708314,5.942968,5.554083,5.620181,5.517942
19,AFFX-ThrX-5_at,3.860578,3.914148,3.979751,4.021416,4.006474,3.947611,3.880761,4.051088,3.96292,3.78123,3.89804,3.872873,4.213952,3.9043,3.664967,3.870485,4.023762,4.09918,4.027111,3.892655,4.179675,4.076562,4.269838,3.792515,4.034683,3.830617,3.86025,4.000133,3.992505,4.105347,4.222694,3.893544,4.139934,3.847099,4.198879
20,AFFX-ThrX-M_at,3.731227,3.723789,3.764367,3.734868,3.786717,3.717527,3.74643,3.729153,3.66852,3.672505,3.843578,3.842332,3.924942,3.920263,3.749727,3.758207,3.786496,3.819039,3.785924,3.643947,3.846677,3.729248,4.011542,3.650141,3.715412,3.864328,3.894211,3.817337,4.150787,3.935468,3.902497,3.822721,3.885702,3.727611,3.761967
21,AFFX-ThrX-3_at,4.510221,4.58795,4.549684,4.489457,4.55989,4.548405,4.504569,4.366193,4.562941,4.575811,4.510187,4.509464,4.722052,4.505205,4.769914,4.647349,4.533766,4.531913,4.591284,4.399909,4.854435,4.428939,4.80891,4.357209,4.591679,4.516861,4.62553,4.63245,4.896699,4.537417,4.751331,4.585906,4.61482,4.576849,4.590731
22,AFFX-TrpnX-5_at,4.05739,4.039133,4.108331,4.034872,4.0956,3.951168,4.084445,4.008875,3.900565,4.093082,4.244645,3.893258,4.094804,4.221455,4.161089,4.104356,3.995632,4.143661,4.020234,3.87908,3.983593,4.029186,4.039566,3.999761,4.012837,3.886174,3.939812,4.2435,4.479258,3.975506,4.143257,4.22651,4.020888,4.016278,4.035699
23,AFFX-TrpnX-M_at,3.850871,3.800021,3.705473,3.848336,3.671581,3.786756,3.764264,3.895624,3.757549,3.71368,3.93601,3.838735,4.085763,3.747936,3.826672,3.811493,3.88869,3.8748,3.77934,3.698894,3.964536,3.850127,3.775694,3.804683,3.805057,3.673702,3.832116,3.822038,4.158338,3.773417,3.89218,3.769631,3.894881,3.787835,3.709689
24,AFFX-TrpnX-3_at,3.655826,4.114946,3.895971,3.743541,3.810888,3.686225,3.758632,3.912987,3.775069,3.749865,3.903275,3.662022,3.779935,3.749787,3.910279,3.901662,3.59844,3.665535,3.634031,3.580713,3.672208,3.623731,3.639325,3.597404,3.677719,3.601812,3.62455,3.683824,4.110589,3.777715,3.796051,3.742243,3.763811,3.737932,3.65755
25,AFFX-HUMISGF3A/M97935_5_at,3.768268,3.750001,3.804702,4.307077,4.011654,3.885774,3.989722,3.795302,3.84235,3.948096,3.649527,3.951551,4.098381,3.85516,3.979041,4.037966,3.909742,4.105901,3.894008,3.812049,4.005216,3.91184,4.03665,3.814156,3.89675,3.793799,3.953029,3.929801,4.457113,3.897788,4.086256,3.957016,3.903315,3.916812,4.047817
26,AFFX-HUMISGF3A/M97935_MA_at,5.994151,6.247246,5.741301,6.388815,6.281959,6.15016,6.170908,5.553748,6.088556,5.44659,5.932456,5.912763,5.878367,6.523997,6.431399,6.291445,5.857875,6.347905,6.472112,5.764203,6.269882,5.743158,6.286119,5.499161,5.760039,5.998634,6.180849,6.013219,6.609425,5.779269,6.255739,6.389625,6.016295,5.929132,6.221085
27,AFFX-HUMISGF3A/M97935_MB_at,5.023039,5.415622,4.650375,5.189551,5.100272,5.235718,5.181395,5.040315,5.231726,4.607076,5.110681,4.855311,4.494263,5.126059,5.02024,5.116214,4.799093,5.117513,5.600266,4.817017,4.964062,4.744858,4.968463,4.464317,4.523212,4.516621,4.964617,4.799195,4.926864,4.834015,5.01643,5.157316,4.712299,4.973489,4.956631
28,AFFX-HUMISGF3A/M97935_3_at,6.251885,7.234757,5.853092,6.244915,6.077665,6.422618,6.546593,6.396643,7.356846,6.34201,6.286403,6.296159,5.968005,6.216374,6.100271,6.239644,6.046414,6.730826,7.5734,6.59191,6.225593,6.079023,7.192146,6.514376,6.148927,6.293837,6.265347,5.406295,6.050056,6.087233,6.336628,6.937259,5.603033,7.449809,6.62606
29,AFFX-HUMRGE/M10098_5_at,4.537211,4.620674,4.809548,4.549359,4.526501,4.469211,4.475302,4.532174,4.300907,4.917548,4.808681,6.969484,5.117215,8.884754,4.868098,7.604809,4.97691,4.519851,4.898841,5.009697,7.612461,11.611565,5.23319,8.857097,5.349053,4.82501,5.680085,5.513001,5.885797,5.897561,6.430429,7.528306,7.800585,4.2885,4.896788
30,AFFX-HUMRGE/M10098_M_at,4.12641,4.242744,4.401696,4.125896,4.097147,4.110095,4.054807,4.28621,3.642338,4.629668,4.148826,6.003638,4.486757,9.319749,5.098972,7.648949,4.201997,4.096718,4.781832,4.584572,6.145671,9.858566,4.738824,8.507683,4.733122,4.298737,5.115079,5.895533,6.671204,5.068518,7.276146,8.20506,8.213737,3.962289,4.446209
31,AFFX-HUMRGE/M10098_3_at,5.640225,5.457756,5.952294,5.723745,5.261011,5.420068,5.847572,5.788166,5.205413,6.163191,5.414406,7.96696,6.935868,10.948602,7.556315,10.041114,5.708481,5.669161,6.88342,5.707412,8.38073,11.5936,8.406938,10.40562,8.606949,5.983316,7.05737,8.954769,8.430001,10.241133,10.301204,11.189923,12.032222,5.475219,7.136325
32,AFFX-HUMGAPDH/M33197_5_at,12.000527,10.715494,11.691253,11.974583,12.577753,12.723965,12.457655,12.206307,11.138177,11.684352,12.66947,12.33226,12.218648,12.580895,12.664825,12.378613,12.726833,12.259889,12.059755,11.496383,12.376658,12.181055,12.143088,11.761713,11.315466,11.9252,12.369358,11.972438,12.02483,11.894246,12.61167,12.033075,12.819304,11.119181,12.014355
33,AFFX-HUMGAPDH/M33197_M_at,12.651469,11.904728,12.469438,12.235008,12.678068,13.104546,12.739383,12.726101,12.251955,12.478061,13.077278,12.624437,12.744404,12.929376,12.956424,12.659731,12.927427,12.757262,12.486993,12.066049,12.688331,12.4181,12.761362,12.186402,12.187928,12.573929,12.637292,12.206737,12.221939,12.200579,12.812447,12.45979,13.163404,12.050851,12.354965
34,AFFX-HUMGAPDH/M33197_3_at,12.848711,12.385035,12.743091,12.48709,12.715945,13.072814,12.849586,12.888512,12.940586,12.990313,13.264464,12.834216,12.87688,13.033661,13.043395,12.887152,13.021859,13.160184,12.893571,12.842429,13.090398,12.801398,13.339383,12.811747,13.014782,13.005209,12.881595,12.397828,12.439874,12.566134,12.938203,12.810655,13.215317,12.692052,12.679915
35,AFFX-HSAC07/X00351_5_at,13.029428,11.550152,12.591852,13.343612,12.787625,12.401354,12.462152,11.991385,9.765975,9.911298,12.444325,12.670529,12.082843,12.62345,12.889914,12.811477,12.952977,12.163393,12.556786,11.824056,12.225328,10.728676,11.145752,10.611848,10.475951,11.333184,12.635252,12.517208,12.22594,12.03461,12.674475,12.510261,11.9922,11.389859,12.199718
36,AFFX-HSAC07/X00351_M_at,13.74663,13.378323,13.42713,13.803742,13.242855,12.974656,13.015421,12.954574,12.027415,11.38671,13.326396,13.225751,12.852797,13.133403,13.417399,13.332793,13.460163,12.795965,13.322968,12.757907,12.911477,11.730337,12.261764,11.776669,11.562716,12.516359,13.120986,12.874887,12.750222,12.612352,13.165083,13.225236,12.549023,12.371728,12.79023
37,AFFX-HSAC07/X00351_3_at,13.028142,13.098754,12.939857,13.246004,12.539319,12.433104,12.477663,12.425826,12.054149,12.044318,12.981667,12.635983,12.307343,12.459882,12.741987,12.583612,12.87786,12.649232,13.049384,12.8076,12.489706,11.546085,12.503417,11.995882,12.108668,12.562714,12.573994,12.356671,12.187248,12.123151,12.423076,12.581186,11.914865,12.692318,12.278089
38,AFFX-M27830_5_at,5.335727,5.544836,5.902603,5.06556,5.160344,5.395333,6.029862,5.07113,4.476589,6.337504,5.170795,10.802618,5.936863,10.59818,6.551834,8.863655,5.842278,4.995934,6.169828,6.488058,8.134507,10.278495,7.58765,10.335177,7.000819,5.371561,8.39926,7.879615,12.345001,7.603089,9.063556,9.233747,9.987608,5.141037,6.114098
39,AFFX-M27830_M_at,8.123892,8.386878,8.275509,8.123823,8.29888,8.281885,8.044473,8.43356,7.583359,8.45187,8.242984,9.984334,8.659772,10.174252,8.738434,9.232178,8.260686,8.429575,8.541765,8.306372,9.879047,10.091151,9.748996,10.088893,9.098944,8.151002,9.158807,8.777215,11.716785,9.926724,9.794339,9.66353,10.268372,7.798498,9.155976
40,AFFX-M27830_3_at,6.629748,6.91914,7.147441,6.809834,7.070092,6.90557,6.853999,6.345852,6.485695,6.757795,7.041239,6.678332,7.202146,7.084126,6.631845,6.908429,6.949202,7.368679,6.760753,6.653434,7.366065,7.009665,7.382634,6.576085,6.989499,6.868014,6.772082,6.702373,7.039426,7.351846,7.023774,6.855642,6.928195,6.863212,6.981105
41,AFFX-hum_alu_at,13.476146,13.32236,13.15089,13.820392,12.890029,12.69792,13.10001,12.611842,12.796688,13.338467,13.123987,12.699883,13.568216,13.440068,13.269035,13.746462,12.562773,13.503482,13.449393,13.27197,13.793623,13.190512,13.64334,13.509965,13.562055,13.451121,12.784949,13.489134,13.35848,13.53435,13.075131,13.803115,13.305649,13.302297,13.447032
42,AFFX-r2-Ec-bioB-5_at,6.125405,5.94665,7.182649,7.088348,6.56092,6.267363,5.953193,6.498652,5.983974,7.865427,6.200319,6.139478,6.615245,7.407321,7.308735,7.533771,5.859825,7.105771,7.69863,6.574174,8.107247,7.697933,7.717785,7.784657,7.833708,6.584254,6.310785,5.984736,7.721206,7.553585,6.874243,7.07509,7.189978,7.116516,7.535162
43,AFFX-r2-Ec-bioB-M_at,7.127842,7.089528,8.034209,8.47238,7.192227,7.13316,6.707966,7.311179,6.880415,9.001609,6.969906,6.777786,7.573539,8.462943,8.195675,8.394344,6.430685,8.442873,8.938871,7.55852,9.090437,8.593517,8.951163,8.9006,8.902339,7.338588,7.164514,6.179219,8.936255,8.587011,7.939691,7.960448,8.124431,7.929547,8.873331
44,AFFX-r2-Ec-bioB-3_at,6.609279,6.933548,7.452011,8.039955,6.670891,6.951623,6.608084,7.319108,6.442571,8.780644,6.678856,7.034265,7.189804,8.101413,8.116216,8.229115,6.73624,7.963463,8.767284,7.374242,8.865224,8.43971,8.519163,8.843938,8.71538,7.311966,7.253271,6.494159,8.534061,8.323893,7.821962,7.866372,8.012595,7.827106,8.505229
45,AFFX-r2-Ec-bioC-5_at,8.403391,7.977632,9.383996,9.169625,8.899779,8.462558,8.003966,8.590722,8.247888,10.142893,8.476783,8.206347,8.858267,9.749561,9.426173,9.562639,8.039578,9.244107,9.941347,8.913108,10.038721,9.747786,9.843576,9.905356,9.97194,8.75735,8.763359,7.69468,10.084762,9.578843,9.236136,9.394548,9.373364,9.478802,9.818872
46,AFFX-r2-Ec-bioC-3_at,8.769174,8.497777,9.497802,9.229216,8.992026,8.631288,8.373745,8.752955,8.430508,10.16887,8.59906,8.58267,9.092117,9.799946,9.767424,9.815983,8.215347,9.40023,10.12209,9.082736,10.19488,9.868483,9.855229,10.074852,10.114519,9.135978,8.891059,8.20359,10.264473,9.562995,9.490243,9.671982,9.432854,9.570323,9.917103
47,AFFX-r2-Ec-bioD-5_at,10.281744,9.390853,11.047179,11.141247,10.789768,10.321355,10.045639,10.413252,9.904779,11.777818,10.408828,10.483509,10.6828,11.322316,11.282712,11.176055,10.144479,10.982446,11.698822,10.900795,11.731169,11.433502,11.670299,11.657615,11.666678,10.845798,10.832482,10.345229,11.640089,11.233831,10.850416,11.050985,11.025153,11.530717,11.29658
48,AFFX-r2-Ec-bioD-3_at,10.724193,10.426425,11.237058,11.160168,10.928069,10.477051,10.266813,10.59829,10.278894,11.993548,10.478493,10.588467,10.792965,11.514244,11.404399,11.457223,10.476551,11.167474,12.064535,11.246043,11.900888,11.710672,11.804211,12.039636,11.860335,11.180982,10.984143,10.536219,11.865286,11.339285,11.177095,11.416482,11.344584,11.615458,11.429928
49,AFFX-r2-P1-cre-5_at,12.760731,12.505689,13.18819,13.288757,13.016025,12.487737,12.304848,12.407053,12.391693,13.522801,12.880366,12.532977,12.666573,13.044872,13.155494,13.010992,12.368428,13.087323,13.507137,13.076529,13.389541,13.111396,13.347963,13.402693,13.509665,12.706095,12.587286,12.724753,12.983167,13.204578,12.822456,12.904896,12.77028,12.943636,13.067874
50,AFFX-r2-P1-cre-3_at,13.082674,13.134176,13.288137,13.266424,13.057793,12.480914,12.523279,12.755447,12.464763,13.526154,13.043467,12.698714,12.860709,13.285632,13.275011,13.339802,12.520851,13.009383,13.731163,13.286221,13.450567,13.135567,13.545962,13.37894,13.455062,12.732689,12.914399,13.169374,13.280939,13.120968,12.913752,13.175095,12.927281,13.233563,13.067837
51,AFFX-r2-Bs-dap-5_at,3.805374,3.653041,3.700993,3.576466,3.626861,3.489841,3.808251,3.710383,3.764562,3.836708,4.236959,3.752345,3.829581,3.945674,3.997863,4.025015,3.838138,3.727288,3.544932,3.678598,3.683874,3.75053,3.918989,3.700346,3.824968,3.918185,3.788743,3.745232,4.157248,3.705195,3.833834,3.770292,3.936803,3.818385,3.658347
52,AFFX-r2-Bs-dap-M_at,3.479353,3.423625,3.588755,3.336848,3.44532,3.625692,3.362823,3.542095,3.465213,3.951314,3.566942,3.542068,3.592997,3.43357,3.49735,3.597196,3.647738,3.464582,3.413045,3.406493,3.630983,3.565161,3.469761,3.504984,3.627618,3.487085,3.485894,3.39082,3.553332,3.62259,3.646449,3.821405,3.539268,3.444426,3.32266
53,AFFX-r2-Bs-dap-3_at,3.38462,3.513692,3.559189,3.507635,3.377629,3.473795,3.386825,3.398501,3.344375,3.733937,3.752875,3.353608,3.299294,3.412942,3.59576,3.401758,3.408668,3.49093,3.327734,3.377095,3.507872,3.473123,3.620348,3.385395,3.581294,3.518967,3.366407,3.464207,3.519206,3.634831,3.554151,3.545085,3.511119,3.559994,3.569268
54,AFFX-r2-Bs-lys-5_at,3.550179,3.660549,3.531171,3.628658,3.533029,3.537092,3.409814,3.664934,3.567125,3.797772,3.596877,3.617616,3.518081,3.525506,3.598317,3.65381,3.596692,3.575674,3.636021,3.396009,3.544987,3.595388,3.514534,3.463182,3.48376,3.553794,3.473162,3.550075,3.579297,3.521503,3.895681,3.83189,3.5987,3.591077,3.540641
55,AFFX-r2-Bs-lys-M_at,3.851998,3.78546,3.880778,3.62674,3.9892,3.793649,3.832658,3.67735,3.644035,3.773896,3.969917,3.788832,3.98328,3.900653,3.900455,3.903539,3.720914,3.905286,3.775624,3.63641,3.89852,3.584353,4.048238,3.708188,3.705523,3.840735,3.605916,3.628113,4.201221,4.070544,3.85776,3.828339,3.949329,3.70606,3.87794
56,AFFX-r2-Bs-lys-3_at,3.938699,3.590268,3.914868,3.608837,3.903341,3.834969,3.766272,3.933156,3.745119,3.845133,3.865231,3.698887,3.820762,3.982081,3.874776,4.111262,3.560438,3.681533,3.878758,3.574844,3.829522,3.807657,4.145411,3.650182,3.819863,3.82569,3.760991,3.730543,4.296353,3.820762,4.221817,3.952029,4.438993,3.8335,3.895317
57,AFFX-r2-Bs-phe-5_at,3.592827,3.633958,3.616001,3.439986,3.670131,3.501992,3.632391,3.668461,3.511616,4.121858,3.857765,3.36363,3.452731,3.575653,3.466008,3.655305,3.5394,3.432871,3.443322,3.290765,3.627125,3.495695,3.551876,3.418196,3.516909,3.561548,3.427513,3.556692,3.842352,3.794536,3.80206,3.787449,3.648074,3.544332,3.617783
58,AFFX-r2-Bs-phe-M_at,3.853716,3.879999,3.983104,3.773065,3.908958,3.882833,3.738317,3.701361,3.628754,3.91641,4.143688,4.076529,4.04732,4.0533,3.919968,3.805789,3.821434,3.872199,3.495676,3.567059,4.11987,3.788322,3.832639,3.656444,3.909203,4.069629,3.889329,3.890748,3.80779,4.050474,3.840617,3.92954,3.976102,3.889298,3.854533
59,AFFX-r2-Bs-phe-3_at,3.777229,3.78944,3.863669,3.836303,3.597371,3.912204,3.806077,3.708583,3.750619,3.723888,3.642742,3.697596,4.615476,3.810167,3.792639,3.816045,3.717982,3.814647,3.792634,3.660224,3.991971,3.805244,4.112278,3.701749,4.079661,3.863669,3.948096,3.769235,3.946823,3.857636,4.184568,4.085388,4.27927,4.107234,3.835936
60,AFFX-r2-Bs-thr-3_s_at,4.07196,4.135939,4.98188,4.21479,4.191638,4.246893,4.053245,3.961557,4.007078,4.317533,4.093604,4.255281,4.21761,4.421927,4.445549,4.172676,4.107221,4.412715,4.083767,4.009592,4.170676,4.069901,4.321746,3.888649,4.24821,4.182339,4.174753,4.430901,4.467166,4.248442,4.210966,4.304335,4.457734,4.223686,4.122603
61,AFFX-r2-Bs-thr-M_s_at,3.857471,3.919561,4.28317,3.786131,4.416465,3.816398,3.882198,3.520132,3.560095,3.730649,4.06183,3.627656,3.796684,3.8802,3.881375,4.212501,3.829362,4.053949,3.819556,3.66687,4.080673,3.72617,4.096125,3.603956,4.029532,3.684063,3.7427,3.803541,4.151665,4.426885,4.068292,3.960442,4.109205,3.856973,3.774029
62,AFFX-r2-Bs-thr-5_s_at,4.160604,4.30383,4.184747,4.221567,4.320447,4.194047,4.212201,3.948636,4.239238,3.924609,4.266213,4.184747,4.717686,4.147697,3.804219,4.220755,4.051856,4.168933,4.100167,4.020078,4.349943,4.125697,4.302465,3.990355,4.445604,4.202595,4.396793,4.189817,4.346549,4.220681,4.049437,4.038647,4.15249,4.250065,4.172593
63,AFFX-r2-Hs18SrRNA-3_s_at,6.484105,5.897647,6.648037,6.280455,5.970725,6.006245,6.507394,6.641573,5.528191,7.268887,6.093658,8.710537,7.429424,11.424936,8.409554,10.885147,6.630237,6.276197,7.699876,6.257394,9.262396,12.029136,9.152486,10.879193,9.108638,6.845722,7.824764,10.211323,9.1099,10.856855,11.290694,12.141633,12.400797,6.224961,7.646137
64,AFFX-r2-Hs18SrRNA-M_x_at,4.300197,4.697261,5.239707,4.926444,4.760737,4.487,4.710198,4.701574,4.262031,4.779515,4.551669,6.998316,5.326884,9.785598,6.11987,8.243815,4.905625,4.701556,5.70009,4.941449,6.925124,10.299018,5.500484,9.052515,5.765968,4.9502,5.926614,6.899625,7.034527,6.438999,8.197893,9.073357,9.280666,4.605517,5.160054
